Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
30-01-2020,Chattisgarh,Other,4000,6300,5100
30-06-2020,Chattisgarh,Other,4023,5457,5150
13-01-2020,Chattisgarh,Other,3500,6000,4750
20-01-2020,Chattisgarh,Other,3800,7800,5800
28-01-2020,Chattisgarh,Other,4000,4000,4000
10-02-2020,Chattisgarh,Other,3800,4000,3900
17-02-2020,Chattisgarh,Other,4000,4200,4100
24-02-2020,Chattisgarh,Other,3500,5000,4250
29-02-2020,Chattisgarh,Other,4700,4700,4700
09-03-2020,Chattisgarh,Other,3500,5000,4300
26-03-2020,Chattisgarh,Other,5000,5000,5000
04-07-2020,Chattisgarh,Other,5000,5000,5000
11-07-2020,Chattisgarh,Other,5000,5000,5000
21-07-2020,Chattisgarh,Other,5000,5000,5000
22-07-2020,Chattisgarh,Other,5000,5000,5000
31-07-2020,Chattisgarh,Other,3400,3400,3400
14-08-2020,Chattisgarh,Other,4300,4300,4300
31-08-2020,Chattisgarh,Other,4000,4800,4400
07-09-2020,Chattisgarh,Other,4200,4200,4200
31-08-2020,Chattisgarh,Other,3300,3300,3300
29-02-2020,Chattisgarh,Other,8000,8000,8000
17-03-2020,Chattisgarh,Other,3500,3500,3500
24-07-2020,Chattisgarh,Other,5200,5200,5200
30-08-2020,Chattisgarh,Other,4800,5100,4900
30-04-2020,Chattisgarh,Beedi,4200,4200,4200
30-06-2020,Chattisgarh,Other,3500,6500,5000
12-09-2020,Chattisgarh,Other,5000,5000,5000
13-09-2020,Chattisgarh,Other,5000,5000,5000
14-09-2020,Chattisgarh,Other,5100,5100,5100
12-05-2020,Gujarat,Other,4100,6255,5000
14-05-2020,Gujarat,Other,4250,6700,5250
15-05-2020,Gujarat,Other,4250,6565,5250
16-05-2020,Gujarat,Other,4500,6655,5500
18-05-2020,Gujarat,Other,4500,6775,5500
23-05-2020,Gujarat,Other,4500,6755,5500
25-05-2020,Gujarat,Other,4000,6555,5000
26-05-2020,Gujarat,Other,4005,6505,5000
27-05-2020,Gujarat,Other,4000,6275,5000
28-05-2020,Gujarat,Other,4500,6375,5500
29-05-2020,Gujarat,Other,4500,6305,5400
02-06-2020,Gujarat,Other,5000,7305,5750
03-06-2020,Gujarat,Other,5000,7110,5750
04-06-2020,Gujarat,Other,5250,7155,5650
06-06-2020,Gujarat,Other,5250,7355,6000
08-06-2020,Gujarat,Other,5000,7155,5900
09-06-2020,Gujarat,Other,5250,7175,5800
10-06-2020,Gujarat,Other,5000,6900,5750
11-06-2020,Gujarat,Other,5250,7305,6000
12-06-2020,Gujarat,Other,5500,7500,6000
13-06-2020,Gujarat,Other,5250,7055,5750
16-06-2020,Gujarat,Other,5305,6855,5600
17-06-2020,Gujarat,Other,5000,6905,5750
18-06-2020,Gujarat,Other,5805,7155,6000
19-06-2020,Gujarat,Other,5355,7355,6250
20-06-2020,Gujarat,Other,5500,7005,6250
22-06-2020,Gujarat,Other,5555,7360,6250
25-06-2020,Gujarat,Other,6425,7555,7150
29-06-2020,Gujarat,Other,6250,9005,7000
11-05-2020,Gujarat,Other,4350,5065,4750
12-05-2020,Gujarat,Other,4000,5305,4625
13-05-2020,Gujarat,Other,4000,5900,4800
14-05-2020,Gujarat,Other,4000,5890,5000
15-05-2020,Gujarat,Other,4000,6125,5500
16-05-2020,Gujarat,Other,4000,6655,5605
18-05-2020,Gujarat,Other,4500,5780,5300
19-05-2020,Gujarat,Other,4250,6330,5250
20-05-2020,Gujarat,Other,4000,5875,5325
21-05-2020,Gujarat,Other,3500,5925,5250
22-05-2020,Gujarat,Other,4000,5555,5155
23-05-2020,Gujarat,Other,4000,5905,5000
25-05-2020,Gujarat,Other,4255,6235,5355
26-05-2020,Gujarat,Other,4000,5755,5250
27-05-2020,Gujarat,Other,4000,5855,5000
28-05-2020,Gujarat,Other,4000,6000,5255
29-05-2020,Gujarat,Other,4000,5910,5000
30-05-2020,Gujarat,Other,4000,5900,5275
01-06-2020,Gujarat,Other,4815,6435,5755
02-06-2020,Gujarat,Other,4795,6450,5755
03-06-2020,Gujarat,Other,5250,6700,6305
04-06-2020,Gujarat,Other,4665,6800,6005
06-06-2020,Gujarat,Other,4665,6800,6005
09-06-2020,Gujarat,Other,6055,6300,6225
05-05-2020,Gujarat,Beedi,4305,5505,4905
06-05-2020,Gujarat,Beedi,3750,6005,4877.5
08-05-2020,Gujarat,Beedi,4005,5550,4777.5
09-05-2020,Gujarat,Beedi,3655,5625,4640
11-05-2020,Gujarat,Beedi,3750,5550,4650
12-05-2020,Gujarat,Beedi,3750,5450,4600
13-05-2020,Gujarat,Beedi,3915,5975,4945
14-05-2020,Gujarat,Beedi,3800,6055,4927.5
15-05-2020,Gujarat,Beedi,3900,6505,5202.5
16-05-2020,Gujarat,Beedi,4175,6460,5317.5
18-05-2020,Gujarat,Beedi,3875,6460,5167.5
19-05-2020,Gujarat,Beedi,3950,6000,4975
20-05-2020,Gujarat,Beedi,4400,6010,5205
21-05-2020,Gujarat,Beedi,4250,5850,5050
22-05-2020,Gujarat,Beedi,4750,5900,5325
23-05-2020,Gujarat,Beedi,4000,5550,4775
25-05-2020,Gujarat,Beedi,4250,6000,5125
26-05-2020,Gujarat,Beedi,4000,5900,4950
27-05-2020,Gujarat,Beedi,4205,6025,5115
28-05-2020,Gujarat,Beedi,4000,6500,5250
29-05-2020,Gujarat,Beedi,4405,5975,5190
01-06-2020,Gujarat,Beedi,4450,6375,5412.5
02-06-2020,Gujarat,Beedi,4900,6705,5802.5
03-06-2020,Gujarat,Beedi,5400,6805,6102.5
04-06-2020,Gujarat,Beedi,5405,6725,6065
06-06-2020,Gujarat,Beedi,5650,6615,6132.5
08-06-2020,Gujarat,Beedi,4500,6875,5687.5
09-06-2020,Gujarat,Beedi,5900,6610,6255
10-06-2020,Gujarat,Beedi,5250,6425,5837.5
11-06-2020,Gujarat,Beedi,4750,6300,5525
12-06-2020,Gujarat,Beedi,5690,6260,5975
15-06-2020,Gujarat,Beedi,5625,6155,5890
18-06-2020,Gujarat,Beedi,5310,6375,5842.5
22-06-2020,Gujarat,Beedi,5250,6555,5902.5
24-06-2020,Gujarat,Beedi,6500,6660,6580
26-06-2020,Gujarat,Beedi,6000,6625,6312.5
01-07-2020,Gujarat,Beedi,6900,7175,7037.5
07-07-2020,Gujarat,Beedi,6000,7300,6650
09-05-2020,Gujarat,Other,3250,9255,4750
11-05-2020,Gujarat,Other,3260,6580,4800
12-05-2020,Gujarat,Other,3255,7005,4920
13-05-2020,Gujarat,Other,3250,6775,4900
14-05-2020,Gujarat,Other,3255,6840,5000
15-05-2020,Gujarat,Other,3000,7155,5005
18-05-2020,Gujarat,Other,3255,7405,5300
19-05-2020,Gujarat,Other,3255,6775,5025
20-05-2020,Gujarat,Other,3255,7500,4800
21-05-2020,Gujarat,Other,3255,7305,4900
22-05-2020,Gujarat,Other,3255,7760,4875
23-05-2020,Gujarat,Other,2755,7240,4900
26-05-2020,Gujarat,Other,3255,7375,4875
29-05-2020,Gujarat,Other,3105,7000,5010
30-05-2020,Gujarat,Other,3255,7460,5075
01-06-2020,Gujarat,Other,3750,8115,5500
02-06-2020,Gujarat,Other,4055,8055,5750
03-06-2020,Gujarat,Other,4000,8000,5750
04-06-2020,Gujarat,Other,4055,8500,5850
05-06-2020,Gujarat,Other,4005,12500,6100
06-06-2020,Gujarat,Other,3750,8250,6375
09-06-2020,Gujarat,Other,4255,7505,6250
10-06-2020,Gujarat,Other,4005,7630,6000
13-06-2020,Gujarat,Other,4675,7260,6150
15-06-2020,Gujarat,Other,3755,7450,6000
16-06-2020,Gujarat,Other,4755,7315,6150
17-06-2020,Gujarat,Other,4755,7375,6375
18-06-2020,Gujarat,Other,5005,7705,6500
19-06-2020,Gujarat,Other,4500,7760,6500
20-06-2020,Gujarat,Other,4500,8405,6500
22-06-2020,Gujarat,Other,4500,7725,6500
23-06-2020,Gujarat,Other,5500,7680,6505
24-06-2020,Gujarat,Other,4000,7300,6625
26-06-2020,Gujarat,Other,5255,7355,6500
27-06-2020,Gujarat,Other,5500,7580,6500
29-06-2020,Gujarat,Other,5000,7835,6625
30-06-2020,Gujarat,Other,5855,6665,6500
02-07-2020,Gujarat,Other,6275,7175,6500
03-07-2020,Gujarat,Other,6810,7305,7000
04-07-2020,Gujarat,Other,6655,7005,6925
06-07-2020,Gujarat,Other,6570,7115,6900
08-07-2020,Gujarat,Other,6255,7160,7000
09-07-2020,Gujarat,Other,6755,6755,6755
13-07-2020,Gujarat,Other,6575,6875,6755
16-07-2020,Gujarat,Other,6105,6375,6255
20-07-2020,Gujarat,Other,6555,6555,6555
30-07-2020,Gujarat,Other,6505,6505,6505
06-01-2020,Tamil Nadu,Other,3000,3200,3100
09-01-2020,Tamil Nadu,Other,3000,3200,3100
13-01-2020,Tamil Nadu,Other,3000,3200,3100
14-01-2020,Tamil Nadu,Other,3000,3200,3100
21-01-2020,Tamil Nadu,Other,3000,3200,3100
