Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
06-01-2018,Chattisgarh,Other,8000,8000,8000
17-01-2018,Chattisgarh,Other,8000,8000,8000
19-01-2018,Chattisgarh,Other,8000,8000,8000
22-01-2018,Chattisgarh,Other,8000,8000,8000
29-01-2018,Chattisgarh,Other,8000,8000,8000
31-01-2018,Chattisgarh,Other,8000,8000,8000
03-02-2018,Chattisgarh,Other,8000,8000,8000
09-02-2018,Chattisgarh,Other,8000,8000,8000
17-02-2018,Chattisgarh,Other,8000,8000,8000
23-02-2018,Chattisgarh,Other,8000,8000,8000
06-03-2018,Chattisgarh,Other,8000,8000,8000
08-03-2018,Chattisgarh,Other,8000,8000,8000
15-03-2018,Chattisgarh,Other,8000,8000,8000
21-03-2018,Chattisgarh,Other,8000,8000,8000
23-03-2018,Chattisgarh,Other,8000,8000,8000
26-03-2018,Chattisgarh,Other,8000,8000,8000
28-03-2018,Chattisgarh,Other,8000,8000,8000
31-03-2018,Chattisgarh,Other,8000,8000,8000
16-04-2018,Chattisgarh,Other,8000,8000,8000
04-05-2018,Chattisgarh,Other,8000,8000,8000
09-05-2018,Chattisgarh,Other,8000,8000,8000
11-05-2018,Chattisgarh,Other,8000,8000,8000
16-05-2018,Chattisgarh,Other,8000,8000,8000
23-05-2018,Chattisgarh,Other,3000,3000,3000
28-05-2018,Chattisgarh,Other,8000,8000,8000
31-05-2018,Chattisgarh,Other,8000,8000,8000
04-06-2018,Chattisgarh,Other,8000,8000,8000
08-06-2018,Chattisgarh,Other,8000,8000,8000
11-06-2018,Chattisgarh,Other,8000,8000,8000
15-06-2018,Chattisgarh,Other,8000,8000,8000
18-06-2018,Chattisgarh,Other,8000,8000,8000
25-06-2018,Chattisgarh,Other,8000,8000,8000
29-06-2018,Chattisgarh,Other,8000,8000,8000
02-07-2018,Chattisgarh,Other,8000,8000,8000
05-07-2018,Chattisgarh,Other,8000,8000,8000
09-07-2018,Chattisgarh,Other,8000,8000,8000
11-07-2018,Chattisgarh,Other,8000,8000,8000
13-07-2018,Chattisgarh,Other,8000,8000,8000
16-07-2018,Chattisgarh,Other,8000,8000,8000
19-07-2018,Chattisgarh,Other,8000,8000,8000
23-07-2018,Chattisgarh,Other,8000,8000,8000
26-07-2018,Chattisgarh,Other,8000,8000,8000
31-07-2018,Chattisgarh,Other,8000,8000,8000
03-08-2018,Chattisgarh,Other,8000,8000,8000
06-08-2018,Chattisgarh,Other,8000,8000,8000
10-08-2018,Chattisgarh,Other,8000,8000,8000
