Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
22-01-2016,Chattisgarh,Other,2250,2875,2563
12-02-2016,Chattisgarh,Other,3000,6585,4793
26-05-2016,Chattisgarh,Other,2505,2905,2705
21-10-2016,Chattisgarh,Other,5240,6190,5715
14-12-2016,Chattisgarh,Other,4750,5105,4928
21-04-2016,Chattisgarh,Other,2500,2500,2500
30-04-2016,Chattisgarh,Other,3000,3000,3000
15-06-2016,Chattisgarh,Other,2800,3000,2900
07-08-2016,Chattisgarh,Other,3600,3700,3650
25-10-2016,Chattisgarh,Other,4600,4600,4600
06-12-2016,Chattisgarh,Other,4500,4500,4500
13-05-2016,Chattisgarh,Chewing,4200,4200,4200
14-05-2016,Chattisgarh,Chewing,4200,4200,4200
17-05-2016,Chattisgarh,Chewing,4000,4000,4000
31-05-2016,Chattisgarh,Chewing,4000,4000,4000
02-06-2016,Chattisgarh,Chewing,4000,4000,4000
29-06-2016,Chattisgarh,Chewing,4000,4000,4000
22-07-2016,Chattisgarh,Chewing,4000,4000,4000
19-08-2016,Chattisgarh,Chewing,300,300,300
20-08-2016,Chattisgarh,Chewing,300,300,300
22-08-2016,Chattisgarh,Chewing,300,300,300
23-08-2016,Chattisgarh,Chewing,300,300,300
27-08-2016,Chattisgarh,Chewing,300,300,300
29-08-2016,Chattisgarh,Chewing,300,300,300
30-08-2016,Chattisgarh,Chewing,300,300,300
25-02-2016,Chattisgarh,Other,4000,4000,4000
26-03-2016,Chattisgarh,Other,4000,4000,4000
16-08-2016,Chattisgarh,Other,3000,3000,3000
31-08-2016,Chattisgarh,Other,4000,4000,4000
31-10-2016,Chattisgarh,Other,4000,4000,4000
28-11-2016,Chattisgarh,Other,4000,4000,4000
13-12-2016,Chattisgarh,Other,4000,4000,4000
30-01-2016,Chattisgarh,Other,3500,3500,3500
23-09-2016,Chattisgarh,Other,3200,3200,3200
12-03-2016,Chattisgarh,Other,2600,2600,2600
08-04-2016,Chattisgarh,Other,6600,6600,6600
21-04-2016,Chattisgarh,Other,4000,4000,4000
16-05-2016,Chattisgarh,Other,4000,4000,4000
15-06-2016,Chattisgarh,Other,2500,2500,2500
25-11-2016,Chattisgarh,Other,2000,2000,2000
16-03-2016,Chattisgarh,Other,3200,3200,3200
05-10-2016,Chattisgarh,Other,3500,3500,3500
31-01-2016,Chattisgarh,Other,2168,2168,2168
29-06-2016,Chattisgarh,Other,2390,2390,2390
23-07-2016,Chattisgarh,Other,500,500,500
27-07-2016,Chattisgarh,Other,700,1208,1208
29-07-2016,Chattisgarh,Other,700,700,700
24-10-2016,Chattisgarh,Other,8000,8000,8000
24-11-2016,Chattisgarh,Other,820,820,820
18-12-2016,Chattisgarh,Other,4375,4375,4375
31-03-2016,Chattisgarh,Other,2345,2345,2345
30-09-2016,Chattisgarh,Other,602,602,602
28-01-2016,Chattisgarh,Other,3009,3009,3009
17-08-2016,Chattisgarh,Other,5000,5000,5000
30-09-2016,Chattisgarh,Other,4318,4318,4318
13-12-2016,Chattisgarh,Other,4505,6725,5000
11-01-2016,Chattisgarh,Other,8000,8000,8000
16-01-2016,Chattisgarh,Other,8000,8000,8000
29-01-2016,Chattisgarh,Other,8000,8000,8000
30-01-2016,Chattisgarh,Other,8000,8000,8000
08-02-2016,Chattisgarh,Other,8000,8000,8000
10-02-2016,Chattisgarh,Other,8000,8000,8000
12-02-2016,Chattisgarh,Other,8000,8000,8000
17-02-2016,Chattisgarh,Other,8000,8000,8000
25-02-2016,Chattisgarh,Other,8000,8000,8000
29-02-2016,Chattisgarh,Other,8000,8000,8000
01-03-2016,Chattisgarh,Other,8000,8000,8000
04-03-2016,Chattisgarh,Other,8000,8000,8000
08-03-2016,Chattisgarh,Other,8000,8000,8000
14-03-2016,Chattisgarh,Other,8000,8000,8000
15-03-2016,Chattisgarh,Other,8000,8000,8000
16-03-2016,Chattisgarh,Other,8000,8000,8000
17-03-2016,Chattisgarh,Other,8000,8000,8000
19-03-2016,Chattisgarh,Other,8000,8000,8000
28-03-2016,Chattisgarh,Other,8000,8000,8000
29-03-2016,Chattisgarh,Other,8000,8000,8000
07-04-2016,Chattisgarh,Other,8000,8000,8000
18-04-2016,Chattisgarh,Other,8000,8000,8000
20-04-2016,Chattisgarh,Other,8000,8000,8000
21-04-2016,Chattisgarh,Other,8000,8000,8000
26-04-2016,Chattisgarh,Other,8000,8000,8000
30-04-2016,Chattisgarh,Other,8000,8000,8000
02-05-2016,Chattisgarh,Other,8000,8000,8000
09-05-2016,Chattisgarh,Other,8000,8000,8000
10-05-2016,Chattisgarh,Other,8000,8000,8000
16-05-2016,Chattisgarh,Other,8000,8000,8000
18-05-2016,Chattisgarh,Other,8000,8000,8000
24-05-2016,Chattisgarh,Other,8000,8000,8000
26-05-2016,Chattisgarh,Other,8000,8000,8000
30-05-2016,Chattisgarh,Other,8000,8000,8000
31-05-2016,Chattisgarh,Other,8000,8000,8000
01-06-2016,Chattisgarh,Other,8000,8000,8000
04-06-2016,Chattisgarh,Other,8000,8000,8000
07-06-2016,Chattisgarh,Other,8000,8000,8000
09-06-2016,Chattisgarh,Other,8000,8000,8000
13-06-2016,Chattisgarh,Other,8000,8000,8000
21-06-2016,Chattisgarh,Other,8000,8000,8000
24-06-2016,Chattisgarh,Other,8000,8000,8000
27-06-2016,Chattisgarh,Other,8000,8000,8000
29-06-2016,Chattisgarh,Other,8000,8000,8000
01-07-2016,Chattisgarh,Other,8000,8000,8000
04-07-2016,Chattisgarh,Other,8000,8000,8000
