Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
20-05-2013,Andhra Pradesh,Tobacco,Other,2133,2533
01-01-2013,Chattisgarh,Tobacco,Other,3500,3500
29-03-2013,Chattisgarh,Tobacco,Other,3307,3307
30-07-2013,Chattisgarh,Tobacco,Other,1400,1500
31-08-2013,Chattisgarh,Tobacco,Other,3000,3000
30-11-2013,Chattisgarh,Tobacco,Other,2940,2940
28-02-2013,Chattisgarh,Tobacco,Other,3578,3578
09-01-2013,Chattisgarh,Tobacco,Other,2000,2000
30-01-2013,Chattisgarh,Tobacco,Other,2000,2000
28-02-2013,Chattisgarh,Tobacco,Other,1600,1600
13-08-2013,Chattisgarh,Tobacco,Other,3000,3000
31-08-2013,Chattisgarh,Tobacco,Other,3000,3000
31-01-2013,Chattisgarh,Tobacco,Other,1350,1350
10-03-2013,Chattisgarh,Tobacco,Other,3000,3000
12-03-2013,Chattisgarh,Tobacco,Other,3000,3000
15-03-2013,Chattisgarh,Tobacco,Other,3000,3000
19-03-2013,Chattisgarh,Tobacco,Other,3000,3000
28-03-2013,Chattisgarh,Tobacco,Other,3000,3000
30-03-2013,Chattisgarh,Tobacco,Other,3000,3000
03-04-2013,Chattisgarh,Tobacco,Other,3000,3000
06-04-2013,Chattisgarh,Tobacco,Other,3000,3000
16-04-2013,Chattisgarh,Tobacco,Other,3000,3000
22-04-2013,Chattisgarh,Tobacco,Other,3000,3000
04-07-2013,Chattisgarh,Tobacco,Other,1000,1000
20-03-2013,Chattisgarh,Tobacco,Other,3000,3000
30-03-2013,Chattisgarh,Tobacco,Other,3000,3000
28-05-2013,Chattisgarh,Tobacco,Other,3000,3000
25-06-2013,Chattisgarh,Tobacco,Other,3000,3000
02-08-2013,Chattisgarh,Tobacco,Other,3000,3000
20-09-2013,Chattisgarh,Tobacco,Other,3000,3000
30-10-2013,Chattisgarh,Tobacco,Other,3500,3500
23-12-2013,Chattisgarh,Tobacco,Other,3000,3000
20-01-2013,Chattisgarh,Tobacco,Other,2598,2598
25-01-2013,Chattisgarh,Tobacco,Other,2609,2609
25-03-2013,Chattisgarh,Tobacco,Other,3097,3097
30-03-2013,Chattisgarh,Tobacco,Other,3097,3097
11-06-2013,Chattisgarh,Tobacco,Other,2345,2345
12-06-2013,Chattisgarh,Tobacco,Other,850,850
13-07-2013,Chattisgarh,Tobacco,Other,4855,4855
23-11-2013,Chattisgarh,Tobacco,Other,2572,2572
24-12-2013,Chattisgarh,Tobacco,Other,2914,2914
30-09-2013,Chattisgarh,Tobacco,Other,2000,2000
22-01-2013,Chattisgarh,Tobacco,Other,2625,9138
15-02-2013,Chattisgarh,Tobacco,Other,2500,2525
