Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
28-07-2012,Chattisgarh,Other,2000,2000,2000
02-01-2012,Chattisgarh,Other,3057,3057,3057
31-01-2012,Chattisgarh,Other,2500,2500,2500
31-07-2012,Chattisgarh,Other,2095,2095,2095
31-08-2012,Chattisgarh,Other,3050,3050,3050
30-11-2012,Chattisgarh,Other,3500,3500,3500
25-01-2012,Chattisgarh,Other,2100,2100,2100
15-02-2012,Chattisgarh,Other,3600,3600,3600
27-02-2012,Chattisgarh,Other,4000,4000,4000
29-02-2012,Chattisgarh,Other,4000,4000,4000
20-03-2012,Chattisgarh,Other,1800,1800,1800
31-01-2012,Chattisgarh,Other,1700,1700,1700
29-02-2012,Chattisgarh,Other,3000,3000,3000
06-03-2012,Chattisgarh,Other,3000,3000,3000
12-03-2012,Chattisgarh,Other,3000,3000,3000
19-03-2012,Chattisgarh,Other,2500,3000,3000
26-03-2012,Chattisgarh,Other,3000,3000,3000
31-03-2012,Chattisgarh,Other,3000,3000,3000
23-04-2012,Chattisgarh,Other,1550,1550,1550
29-06-2012,Chattisgarh,Other,3000,3000,3000
25-07-2012,Chattisgarh,Other,1450,1450,1450
21-08-2012,Chattisgarh,Other,1300,1300,1300
21-12-2012,Chattisgarh,Other,1575,1575,1575
24-01-2012,Chattisgarh,Other,3000,3000,3000
31-03-2012,Chattisgarh,Other,2500,2500,2500
31-05-2012,Chattisgarh,Other,3000,3000,3000
07-06-2012,Chattisgarh,Other,3000,3000,3000
04-08-2012,Chattisgarh,Other,3000,3000,3000
30-08-2012,Chattisgarh,Other,3000,3000,3000
30-09-2012,Chattisgarh,Other,3000,3000,3000
27-10-2012,Chattisgarh,Other,3000,3000,3000
02-12-2012,Chattisgarh,Other,3000,3000,3000
11-01-2012,Chattisgarh,Other,1536,1536,1536
29-02-2012,Chattisgarh,Other,2582,2582,2582
19-05-2012,Chattisgarh,Other,2244,2244,2244
24-06-2012,Chattisgarh,Other,2400,2400,2400
26-06-2012,Chattisgarh,Other,2018,2018,2018
10-07-2012,Chattisgarh,Other,800,800,800
14-07-2012,Chattisgarh,Other,2800,2800,2800
06-11-2012,Chattisgarh,Other,3100,3100,3100
24-12-2012,Chattisgarh,Other,6500,6500,6500
17-01-2012,Chattisgarh,Other,2550,2640,2600
15-05-2012,Chattisgarh,Other,2344,2400,2352
07-07-2012,Chattisgarh,Other,5000,5000,5000
25-07-2012,Chattisgarh,Other,2700,2700,2700
07-12-2012,Chattisgarh,Other,5328,5350,5335
17-12-2012,Chattisgarh,Other,5260,5260,5260
07-01-2012,Chattisgarh,Other,8000,8000,8000
12-01-2012,Chattisgarh,Other,8000,8000,8000
20-01-2012,Chattisgarh,Other,8000,8000,8000
24-01-2012,Chattisgarh,Other,8000,8000,8000
31-01-2012,Chattisgarh,Other,8000,8000,8000
09-02-2012,Chattisgarh,Other,8000,8000,8000
13-02-2012,Chattisgarh,Other,8000,8000,8000
15-02-2012,Chattisgarh,Other,8000,8000,8000
16-02-2012,Chattisgarh,Other,8000,8000,8000
21-02-2012,Chattisgarh,Other,4000,8000,8000
22-02-2012,Chattisgarh,Other,8000,8000,8000
27-02-2012,Chattisgarh,Other,2000,2000,2000
29-02-2012,Chattisgarh,Other,8000,8000,8000
07-03-2012,Chattisgarh,Other,8000,8000,8000
13-03-2012,Chattisgarh,Other,8000,8000,8000
15-03-2012,Chattisgarh,Other,8000,8000,8000
17-03-2012,Chattisgarh,Other,8000,8000,8000
19-03-2012,Chattisgarh,Other,8000,8000,8000
22-03-2012,Chattisgarh,Other,8000,8000,8000
24-03-2012,Chattisgarh,Other,8000,8000,8000
26-03-2012,Chattisgarh,Other,8000,8000,8000
28-03-2012,Chattisgarh,Other,8000,8000,8000
29-03-2012,Chattisgarh,Other,8000,8000,8000
07-04-2012,Chattisgarh,Other,8000,8000,8000
09-04-2012,Chattisgarh,Other,8000,8000,8000
12-04-2012,Chattisgarh,Other,8000,8000,8000
16-04-2012,Chattisgarh,Other,8000,8000,8000
18-04-2012,Chattisgarh,Other,8000,8000,8000
23-04-2012,Chattisgarh,Other,8000,8000,8000
26-04-2012,Chattisgarh,Other,8000,8000,8000
28-04-2012,Chattisgarh,Other,8000,8000,8000
01-05-2012,Chattisgarh,Other,8000,8000,8000
07-05-2012,Chattisgarh,Other,8000,8000,8000
09-05-2012,Chattisgarh,Other,8000,8000,8000
14-05-2012,Chattisgarh,Other,8000,8000,8000
16-05-2012,Chattisgarh,Other,8000,8000,8000
18-05-2012,Chattisgarh,Other,8000,8000,8000
21-05-2012,Chattisgarh,Other,8000,8000,8000
23-05-2012,Chattisgarh,Other,8000,8000,8000
25-05-2012,Chattisgarh,Other,8000,8000,8000
02-06-2012,Chattisgarh,Other,8000,8000,8000
06-06-2012,Chattisgarh,Other,8000,8000,8000
07-06-2012,Chattisgarh,Other,8000,8000,8000
11-06-2012,Chattisgarh,Other,8000,8000,8000
18-06-2012,Chattisgarh,Other,8000,8000,8000
20-06-2012,Chattisgarh,Other,8000,8000,8000
22-06-2012,Chattisgarh,Other,8000,8000,8000
25-06-2012,Chattisgarh,Other,8000,8000,8000
27-06-2012,Chattisgarh,Other,8000,8000,8000
30-06-2012,Chattisgarh,Other,8000,8000,8000
02-07-2012,Chattisgarh,Other,8000,8000,8000
04-07-2012,Chattisgarh,Other,4200,8000,8000
06-07-2012,Chattisgarh,Other,8000,8000,8000
11-07-2012,Chattisgarh,Other,8000,8000,8000
13-07-2012,Chattisgarh,Other,8000,8000,8000
16-07-2012,Chattisgarh,Other,8000,8000,8000
20-07-2012,Chattisgarh,Other,8000,8000,8000
25-07-2012,Chattisgarh,Other,8000,8000,8000
31-07-2012,Chattisgarh,Other,8000,8000,8000
06-08-2012,Chattisgarh,Other,8000,8000,8000
07-08-2012,Chattisgarh,Other,8000,8000,8000
13-08-2012,Chattisgarh,Other,8000,8000,8000
18-08-2012,Chattisgarh,Other,8000,8000,8000
23-08-2012,Chattisgarh,Other,8000,8000,8000
27-08-2012,Chattisgarh,Other,8000,8000,8000
01-09-2012,Chattisgarh,Other,8000,8000,8000
07-09-2012,Chattisgarh,Other,8000,8000,8000
17-09-2012,Chattisgarh,Other,8000,8000,8000
24-09-2012,Chattisgarh,Other,8000,8000,8000
29-09-2012,Chattisgarh,Other,8000,8000,8000
03-10-2012,Chattisgarh,Other,8000,8000,8000
08-10-2012,Chattisgarh,Other,8000,8000,8000
17-10-2012,Chattisgarh,Other,8000,8000,8000
30-10-2012,Chattisgarh,Other,8000,8000,8000
06-11-2012,Chattisgarh,Other,8000,8000,8000
21-11-2012,Chattisgarh,Other,8000,8000,8000
30-11-2012,Chattisgarh,Other,8000,8000,8000
17-12-2012,Chattisgarh,Other,8000,8000,8000
31-12-2012,Chattisgarh,Other,8000,8000,8000
11-04-2012,Chattisgarh,Other,2400,2400,2400
02-05-2012,Gujarat,Other,1075,1700,1387
09-04-2012,Gujarat,Other,4105,7075,6000
10-04-2012,Gujarat,Other,4305,6725,6000
14-05-2012,Gujarat,Other,3000,5320,4250
15-05-2012,Gujarat,Other,3000,5505,4500
16-05-2012,Gujarat,Other,3000,6250,4750
17-05-2012,Gujarat,Other,3055,5700,4500
18-05-2012,Gujarat,Other,3000,5255,4255
19-05-2012,Gujarat,Other,3095,5355,4250
21-05-2012,Gujarat,Other,3205,5025,4250
01-12-2012,Gujarat,Other,4905,5340,5005
09-05-2012,Gujarat,Other,2500,5000,0
14-05-2012,Gujarat,Other,3500,4500,4000
15-05-2012,Gujarat,Other,3550,4100,3900
16-05-2012,Gujarat,Other,3500,4100,3800
18-05-2012,Gujarat,Other,3500,4200,3850
19-05-2012,Gujarat,Other,3500,4200,3750
21-05-2012,Gujarat,Other,3500,4100,4000
22-05-2012,Gujarat,Other,3500,4200,4000
23-05-2012,Gujarat,Other,3500,4200,3850
25-05-2012,Gujarat,Other,3500,4200,4100
26-05-2012,Gujarat,Other,3500,4200,4100
28-05-2012,Gujarat,Other,3500,4200,0
29-05-2012,Gujarat,Other,3500,4100,0
30-05-2012,Gujarat,Other,3500,4500,4250
01-06-2012,Gujarat,Other,3500,4100,3900
02-06-2012,Gujarat,Other,3500,4200,4000
04-06-2012,Gujarat,Other,3500,4200,4000
05-06-2012,Gujarat,Other,3500,4200,4100
06-06-2012,Gujarat,Other,3500,4200,4150
02-01-2012,Gujarat,Other,6055,6205,6150
09-01-2012,Gujarat,Other,5270,6705,6650
11-01-2012,Gujarat,Other,6505,6810,6750
18-01-2012,Gujarat,Other,4175,6455,6125
14-02-2012,Gujarat,Other,4610,5940,5880
12-03-2012,Gujarat,Other,6805,7500,7000
13-03-2012,Gujarat,Other,3765,6501,6000
14-03-2012,Gujarat,Other,5010,6875,6700
15-03-2012,Gujarat,Other,5455,6765,6500
16-03-2012,Gujarat,Other,5000,6500,6450
17-03-2012,Gujarat,Other,5000,7070,6500
19-03-2012,Gujarat,Other,4550,7125,6500
20-03-2012,Gujarat,Other,4235,7500,7000
21-03-2012,Gujarat,Other,7000,8505,7500
22-03-2012,Gujarat,Other,5005,8375,7100
23-03-2012,Gujarat,Other,5000,8375,7180
24-03-2012,Gujarat,Other,4865,8160,6500
26-03-2012,Gujarat,Other,4260,8265,6450
27-03-2012,Gujarat,Other,4005,7755,6400
02-04-2012,Gujarat,Other,4200,8250,6510
03-04-2012,Gujarat,Other,3885,8250,6405
04-04-2012,Gujarat,Other,3605,7630,5900
05-04-2012,Gujarat,Other,3505,7610,5505
06-04-2012,Gujarat,Other,3500,7635,5550
07-04-2012,Gujarat,Other,3755,7505,5800
09-04-2012,Gujarat,Other,3760,8430,6100
10-04-2012,Gujarat,Other,3000,7520,6100
11-04-2012,Gujarat,Other,3500,7510,6200
12-04-2012,Gujarat,Other,3055,7560,5800
13-04-2012,Gujarat,Other,3100,7265,6000
16-04-2012,Gujarat,Other,3000,7010,6250
17-04-2012,Gujarat,Other,3300,6780,5900
18-04-2012,Gujarat,Other,3500,7005,5850
19-04-2012,Gujarat,Other,3500,7005,5650
20-04-2012,Gujarat,Other,3505,6850,5400
21-04-2012,Gujarat,Other,3100,7375,5500
23-04-2012,Gujarat,Other,3500,6900,5450
25-04-2012,Gujarat,Other,3000,6775,5400
26-04-2012,Gujarat,Other,3500,6805,5450
27-04-2012,Gujarat,Other,3050,6560,5400
28-04-2012,Gujarat,Other,3000,6760,5100
30-04-2012,Gujarat,Other,3000,6605,5110
01-05-2012,Gujarat,Other,3000,6505,5030
02-05-2012,Gujarat,Other,2500,6100,5350
03-05-2012,Gujarat,Other,3000,6125,5005
04-05-2012,Gujarat,Other,3255,6105,4980
05-05-2012,Gujarat,Other,3000,6625,5005
07-05-2012,Gujarat,Other,3000,6005,4880
08-05-2012,Gujarat,Other,3000,6155,4900
09-05-2012,Gujarat,Other,3000,5835,4750
10-05-2012,Gujarat,Other,3000,6900,4950
11-05-2012,Gujarat,Other,3000,5780,4750
12-05-2012,Gujarat,Other,3000,6025,4600
14-05-2012,Gujarat,Other,3000,7275,4850
15-05-2012,Gujarat,Other,3000,6250,4700
16-05-2012,Gujarat,Other,3000,6755,4750
17-05-2012,Gujarat,Other,3000,6105,4750
18-05-2012,Gujarat,Other,3000,6225,4725
19-05-2012,Gujarat,Other,3000,5875,4725
21-05-2012,Gujarat,Other,3000,6025,4725
22-05-2012,Gujarat,Other,3000,6000,4600
23-05-2012,Gujarat,Other,3000,6605,4650
24-05-2012,Gujarat,Other,3000,7090,4800
25-05-2012,Gujarat,Other,3000,5455,4600
26-05-2012,Gujarat,Other,3000,6090,4700
28-05-2012,Gujarat,Other,3000,5280,4450
29-05-2012,Gujarat,Other,3000,5395,4500
01-06-2012,Gujarat,Other,3255,5505,4525
02-06-2012,Gujarat,Other,3005,5860,4450
04-06-2012,Gujarat,Other,2775,5145,4400
05-06-2012,Gujarat,Other,3455,5610,4450
06-06-2012,Gujarat,Other,3025,5085,4350
07-06-2012,Gujarat,Other,2755,4250,4250
08-06-2012,Gujarat,Other,3500,5255,5255
09-06-2012,Gujarat,Other,3890,4525,4525
11-06-2012,Gujarat,Other,3000,4805,4450
12-06-2012,Gujarat,Other,2500,4675,4250
13-06-2012,Gujarat,Other,2500,4730,4425
18-06-2012,Gujarat,Other,3000,4640,4450
19-06-2012,Gujarat,Other,3000,5955,4550
20-06-2012,Gujarat,Other,3255,4770,4425
25-06-2012,Gujarat,Other,2500,4905,4500
26-06-2012,Gujarat,Other,2500,4400,4300
27-06-2012,Gujarat,Other,2815,4705,4450
02-07-2012,Gujarat,Other,3355,5755,4350
03-07-2012,Gujarat,Other,3205,4610,4425
04-07-2012,Gujarat,Other,2755,4605,4450
09-07-2012,Gujarat,Other,2560,4340,4250
10-07-2012,Gujarat,Other,4205,4405,4270
22-10-2012,Gujarat,Other,3805,5330,4700
25-10-2012,Gujarat,Other,4205,4330,4300
27-10-2012,Gujarat,Other,4125,4875,4600
29-10-2012,Gujarat,Other,3605,4705,4600
30-10-2012,Gujarat,Other,3855,4705,4650
01-11-2012,Gujarat,Other,3500,5255,5005
02-11-2012,Gujarat,Other,4000,5005,4920
07-11-2012,Gujarat,Other,3500,5250,5005
08-11-2012,Gujarat,Other,4250,5520,5250
09-11-2012,Gujarat,Other,4000,4450,4400
10-11-2012,Gujarat,Other,5400,5400,5400
20-11-2012,Gujarat,Other,4270,5505,5050
21-11-2012,Gujarat,Other,4000,4705,4700
