Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
17-03-2011,Chattisgarh,Other,2000,2000,2000
14-06-2011,Chattisgarh,Other,2600,2800,2600
30-06-2011,Chattisgarh,Other,2600,2800,2700
25-07-2011,Chattisgarh,Other,3200,3200,3200
14-10-2011,Chattisgarh,Other,1762,1762,1762
12-05-2011,Chattisgarh,Other,2000,2000,2000
31-05-2011,Chattisgarh,Other,1750,1750,1750
15-07-2011,Chattisgarh,Other,2500,2500,2500
24-08-2011,Chattisgarh,Other,2000,2000,2000
22-11-2011,Chattisgarh,Other,2200,2200,2200
18-03-2011,Chattisgarh,Other,3000,3000,3000
23-03-2011,Chattisgarh,Other,3000,3000,3000
30-05-2011,Chattisgarh,Other,1900,1900,1900
21-09-2011,Chattisgarh,Other,1700,1700,1700
12-12-2011,Chattisgarh,Other,1600,1600,1600
13-02-2011,Chattisgarh,Other,2500,2500,2500
28-02-2011,Chattisgarh,Other,2000,2000,2000
27-06-2011,Chattisgarh,Other,2500,2500,2500
30-06-2011,Chattisgarh,Other,2500,2500,2500
23-08-2011,Chattisgarh,Other,3000,3000,3000
26-08-2011,Chattisgarh,Other,3000,3000,3000
21-09-2011,Chattisgarh,Other,3000,3000,3000
10-12-2011,Chattisgarh,Other,3000,3000,3000
23-01-2011,Chattisgarh,Other,2037,2037,2037
01-04-2011,Chattisgarh,Other,510,3098,510
16-05-2011,Chattisgarh,Other,2066,2066,2066
26-05-2011,Chattisgarh,Other,2412,2412,2412
03-08-2011,Chattisgarh,Other,466,466,466
02-10-2011,Chattisgarh,Other,2000,2000,2000
06-11-2011,Chattisgarh,Other,3900,3900,3900
20-12-2011,Chattisgarh,Other,2158,2158,2158
04-03-2011,Chattisgarh,Other,1735,1740,1738
18-05-2011,Chattisgarh,Other,2000,2100,2050
04-06-2011,Chattisgarh,Other,1930,1930,1930
13-06-2011,Chattisgarh,Other,5807,5897,5845
18-06-2011,Chattisgarh,Other,3800,5000,4400
21-06-2011,Chattisgarh,Other,3028,5000,4000
15-07-2011,Chattisgarh,Other,3930,3932,3931
11-08-2011,Chattisgarh,Other,2466,2466,2466
17-01-2011,Chattisgarh,Other,8000,8000,8000
21-01-2011,Chattisgarh,Other,8000,8000,8000
31-01-2011,Chattisgarh,Other,8000,8000,8000
07-02-2011,Chattisgarh,Other,8000,8000,8000
11-02-2011,Chattisgarh,Other,8000,8000,8000
17-02-2011,Chattisgarh,Other,8000,8000,8000
23-02-2011,Chattisgarh,Other,8000,8000,8000
28-02-2011,Chattisgarh,Other,8000,8000,8000
03-03-2011,Chattisgarh,Other,8000,8000,8000
11-03-2011,Chattisgarh,Other,8000,8000,8000
18-03-2011,Chattisgarh,Other,8000,8000,8000
28-03-2011,Chattisgarh,Other,8000,8000,8000
31-03-2011,Chattisgarh,Other,8000,8000,8000
07-04-2011,Chattisgarh,Other,8000,8000,8000
15-04-2011,Chattisgarh,Other,8000,8000,8000
23-04-2011,Chattisgarh,Other,8000,8000,8000
29-04-2011,Chattisgarh,Other,8000,8000,8000
30-04-2011,Chattisgarh,Other,8000,8000,8000
10-05-2011,Chattisgarh,Other,2600,2600,2600
13-05-2011,Chattisgarh,Other,8000,8000,8000
23-05-2011,Chattisgarh,Other,8000,8000,8000
25-05-2011,Chattisgarh,Other,1463,8000,1463
31-05-2011,Chattisgarh,Other,8000,8000,8000
06-06-2011,Chattisgarh,Other,8000,8000,8000
09-06-2011,Chattisgarh,Other,8000,8000,8000
14-06-2011,Chattisgarh,Other,1422,1422,1422
17-06-2011,Chattisgarh,Other,8000,8000,8000
30-06-2011,Chattisgarh,Other,8000,8000,8000
04-07-2011,Chattisgarh,Other,8000,8000,8000
11-07-2011,Chattisgarh,Other,8000,8000,8000
15-07-2011,Chattisgarh,Other,8000,8000,8000
23-07-2011,Chattisgarh,Other,8000,8000,8000
25-07-2011,Chattisgarh,Other,8000,8000,8000
28-07-2011,Chattisgarh,Other,8000,8000,8000
04-08-2011,Chattisgarh,Other,8000,8000,8000
09-08-2011,Chattisgarh,Other,1800,1800,1800
16-08-2011,Chattisgarh,Other,1800,8000,1800
24-08-2011,Chattisgarh,Other,8000,8000,8000
30-08-2011,Chattisgarh,Other,8000,8000,8000
05-09-2011,Chattisgarh,Other,8000,8000,8000
15-09-2011,Chattisgarh,Other,1800,8000,1800
30-09-2011,Chattisgarh,Other,1800,8000,1800
10-10-2011,Chattisgarh,Other,8000,8000,8000
21-10-2011,Chattisgarh,Other,8000,8000,8000
31-10-2011,Chattisgarh,Other,8000,8000,8000
15-11-2011,Chattisgarh,Other,8000,8000,8000
22-11-2011,Chattisgarh,Other,8000,8000,8000
30-11-2011,Chattisgarh,Other,8000,8000,8000
08-12-2011,Chattisgarh,Other,8000,8000,8000
15-12-2011,Chattisgarh,Other,8000,8000,8000
22-12-2011,Chattisgarh,Other,8000,8000,8000
31-12-2011,Chattisgarh,Other,8000,8000,8000
08-12-2011,Gujarat,Other,11750,13200,12475
03-01-2011,Gujarat,Other,3005,3005,3005
06-01-2011,Gujarat,Other,3485,3710,3575
10-01-2011,Gujarat,Other,3150,3600,3400
13-01-2011,Gujarat,Other,3405,3605,3500
17-01-2011,Gujarat,Other,2825,3755,3580
24-01-2011,Gujarat,Other,3250,3755,3550
27-01-2011,Gujarat,Other,3250,3255,3255
31-01-2011,Gujarat,Other,3315,3755,3550
07-02-2011,Gujarat,Other,3075,3825,3600
10-02-2011,Gujarat,Other,3500,3860,3650
14-02-2011,Gujarat,Other,3500,3855,3750
17-02-2011,Gujarat,Other,3005,3765,3600
21-02-2011,Gujarat,Other,3505,3905,3690
24-02-2011,Gujarat,Other,3505,3755,3575
28-02-2011,Gujarat,Other,4105,4105,4105
07-03-2011,Gujarat,Other,3805,4225,4005
10-03-2011,Gujarat,Other,3700,3975,3835
04-04-2011,Gujarat,Other,4080,5855,4800
07-04-2011,Gujarat,Other,4490,4880,4755
11-04-2011,Gujarat,Other,2680,7375,6250
13-04-2011,Gujarat,Other,4155,6830,5755
14-04-2011,Gujarat,Other,4455,6755,6000
15-04-2011,Gujarat,Other,4450,6880,5755
19-04-2011,Gujarat,Other,4060,7005,6000
20-04-2011,Gujarat,Other,4000,7500,6000
21-04-2011,Gujarat,Other,4000,6665,5500
22-04-2011,Gujarat,Other,3555,6755,5600
23-04-2011,Gujarat,Other,3755,6500,5125
25-04-2011,Gujarat,Other,3850,6505,5250
26-04-2011,Gujarat,Other,3950,6665,5375
27-04-2011,Gujarat,Other,3625,6555,5500
28-04-2011,Gujarat,Other,3855,6105,5255
29-04-2011,Gujarat,Other,3655,6325,5400
30-04-2011,Gujarat,Other,3625,6455,4905
02-05-2011,Gujarat,Other,3650,6825,5055
04-05-2011,Gujarat,Other,3505,6500,5250
05-05-2011,Gujarat,Other,4100,6255,5125
09-05-2011,Gujarat,Other,4000,5505,4505
10-05-2011,Gujarat,Other,2625,5405,4500
11-05-2011,Gujarat,Other,3500,5255,4750
12-05-2011,Gujarat,Other,3125,5905,5055
13-05-2011,Gujarat,Other,3255,5505,4505
14-05-2011,Gujarat,Other,3225,6200,5125
16-05-2011,Gujarat,Other,3250,5500,4755
18-05-2011,Gujarat,Other,3200,5075,4500
19-05-2011,Gujarat,Other,3155,5900,5100
20-05-2011,Gujarat,Other,3125,5555,4875
21-05-2011,Gujarat,Other,3500,5575,4755
23-05-2011,Gujarat,Other,3375,5625,4750
24-05-2011,Gujarat,Other,3275,5250,4500
27-05-2011,Gujarat,Other,2850,5755,4000
28-05-2011,Gujarat,Other,3000,4500,4000
30-05-2011,Gujarat,Other,2900,5500,3750
31-05-2011,Gujarat,Other,3100,5555,4000
01-06-2011,Gujarat,Other,2750,4755,3750
02-06-2011,Gujarat,Other,3205,5000,4000
03-06-2011,Gujarat,Other,3555,4400,3750
04-06-2011,Gujarat,Other,3000,4425,4000
06-06-2011,Gujarat,Other,2750,4500,4000
07-06-2011,Gujarat,Other,2825,5275,4250
08-06-2011,Gujarat,Other,2755,4825,3555
09-06-2011,Gujarat,Other,2875,4500,4000
10-06-2011,Gujarat,Other,2660,5150,4750
11-06-2011,Gujarat,Other,3005,5140,4500
13-06-2011,Gujarat,Other,2500,5400,4500
14-06-2011,Gujarat,Other,3000,5250,4750
16-06-2011,Gujarat,Other,2250,4805,4250
17-06-2011,Gujarat,Other,2580,4250,3750
18-06-2011,Gujarat,Other,3000,4875,3825
20-06-2011,Gujarat,Other,3250,4800,4000
21-06-2011,Gujarat,Other,3510,4900,4075
22-06-2011,Gujarat,Other,2750,4500,3800
23-06-2011,Gujarat,Other,2500,4375,3500
24-06-2011,Gujarat,Other,3000,4700,4000
25-06-2011,Gujarat,Other,3200,4125,4000
27-06-2011,Gujarat,Other,2750,5275,4000
28-06-2011,Gujarat,Other,2625,4875,4075
29-06-2011,Gujarat,Other,3850,5105,4000
30-06-2011,Gujarat,Other,2255,4155,3275
01-07-2011,Gujarat,Other,3850,3850,3850
02-07-2011,Gujarat,Other,3875,5150,4250
04-07-2011,Gujarat,Other,4105,4570,4300
05-07-2011,Gujarat,Other,4005,5475,4525
06-07-2011,Gujarat,Other,2500,4750,4000
07-07-2011,Gujarat,Other,4555,4555,4555
08-07-2011,Gujarat,Other,3055,4375,3205
09-07-2011,Gujarat,Other,4155,4155,4155
16-07-2011,Gujarat,Other,3925,4500,4255
01-01-2011,Gujarat,Other,3225,3750,3740
03-01-2011,Gujarat,Other,2905,3815,3800
04-01-2011,Gujarat,Other,2975,3835,3805
05-01-2011,Gujarat,Other,2755,3800,3750
06-01-2011,Gujarat,Other,3530,3810,3755
08-01-2011,Gujarat,Other,3220,3865,3750
11-01-2011,Gujarat,Other,2935,3645,3550
12-01-2011,Gujarat,Other,2925,3610,3550
17-01-2011,Gujarat,Other,3100,3105,3105
19-01-2011,Gujarat,Other,2355,3700,3600
20-01-2011,Gujarat,Other,3005,3755,3600
22-01-2011,Gujarat,Other,3715,3715,3715
31-01-2011,Gujarat,Other,2505,3825,3625
05-02-2011,Gujarat,Other,5800,6100,6005
17-02-2011,Gujarat,Other,3780,4130,4005
21-02-2011,Gujarat,Other,2680,4225,4015
22-02-2011,Gujarat,Other,2355,3345,3325
25-03-2011,Gujarat,Other,5135,5135,5135
28-03-2011,Gujarat,Other,5180,5380,5275
01-04-2011,Gujarat,Other,3750,4025,4000
02-04-2011,Gujarat,Other,3825,6150,6125
04-04-2011,Gujarat,Other,3525,6810,6125
05-04-2011,Gujarat,Other,3260,6805,5750
06-04-2011,Gujarat,Other,3605,6845,5775
07-04-2011,Gujarat,Other,2505,6905,5825
08-04-2011,Gujarat,Other,3505,7105,6050
09-04-2011,Gujarat,Other,3305,7505,6050
11-04-2011,Gujarat,Other,4000,7380,5900
13-04-2011,Gujarat,Other,3765,7335,6100
14-04-2011,Gujarat,Other,3560,7620,5750
15-04-2011,Gujarat,Other,3500,8000,6000
16-04-2011,Gujarat,Other,3500,8360,6250
18-04-2011,Gujarat,Other,3505,8000,6275
19-04-2011,Gujarat,Other,3005,8505,6375
20-04-2011,Gujarat,Other,3500,8055,6300
21-04-2011,Gujarat,Other,3255,8340,6375
22-04-2011,Gujarat,Other,3500,8505,6300
